no,n,interval,root,bisect_fallback,bisection,regula_falsi,abkk,barycentric,zhang,ridders,illinois,blendtf,itp,bdqrf,rbp,pegasus,toms748,brent,brentq,anderson_bjorck,brenth,muller,modab,chandrupatla
86,,"[0,2]",1.088359539141284E+00,regula_falsi,47,1047,18,26,17,16,10,35,11,14,12,10,9,10,10,10,10,9,10,10
87,,"[2,6]",4.633377227365911E+00,,45,13,18,43,14,14,11,26,12,14,9,8,9,9,9,9,9,11,12,11
88,,"[6,8]",7.260992386236994E+00,,44,34,22,59,14,14,11,26,10,14,12,11,9,10,10,10,11,10,11,11
89,,"[0,2]",1.111832559158963E+00,,47,99,20,28,12,10,13,23,11,12,10,11,11,11,11,13,11,10,10,10
90,,"[2,5]",4.577152063957297E+00,,45,31,20,32,16,14,10,23,10,10,10,8,8,8,8,8,8,8,9,8
91,,"[2,3]",2.842438953784447E+00,,44,16,18,28,14,10,9,23,9,10,10,8,8,8,8,8,8,9,10,8
92,,"[0,2]",1.306558641039350E+00,,46,29,20,28,14,10,11,23,10,12,10,9,8,9,9,8,8,8,9,8
93,,"[0,6]",3.109432499472657E+00,,47,52,22,58,14,20,14,35,14,12,10,12,12,11,11,12,11,10,12,12
94,,"[6,8]",7.045370863263169E+00,,44,24,20,30,12,12,10,26,12,8,6,9,8,9,9,9,8,6,9,7
95,,"[0,1]",3.668241935299209E-01,,47,14,16,28,12,12,9,20,9,12,8,7,7,8,8,7,8,7,8,7
96,,"[1,5]",3.573500194375826E+00,,46,14,16,40,14,14,10,23,11,12,10,9,10,9,9,9,9,9,9,9
97,,"[5,7]",5.788039747435298E+00,,44,10,16,23,14,12,9,23,9,12,8,8,8,9,9,8,8,8,9,8
98,,"[7,10]",9.213170157493375E+00,,44,12,18,22,14,16,10,23,10,14,9,9,9,8,8,8,8,8,8,8
99,,"[-10,10]",-7.390851332151607E-01,,50,14,18,34,14,14,12,29,12,14,9,10,10,8,8,9,9,9,10,9
100,,"[-10,10]",1.333333333333333E+00,,50,3,4,5,4,4,3,5,12,4,4,3,3,3,3,3,3,4,4,4
101,5,"[0,1]",4.099920179891371E-01,,47,36,16,25,12,12,11,23,9,8,7,9,10,10,10,9,9,6,9,9
101,10,"[0,1]",4.525091455776412E-01,,47,35,14,25,12,12,11,26,10,8,6,10,10,10,10,10,10,6,9,9
101,20,"[0,1]",4.756268485960624E-01,,47,35,14,33,10,10,11,26,11,6,6,10,10,10,10,10,10,6,9,9
